0,10068
1,8306
2,6525
3,5726
4,4984
5,5171
6,6183
7,8671
8,11799
9,14215
10,15261
11,16135
12,16800
13,17569
14,17469
15,17980
16,18696
17,19668
18,20393
19,19996
20,18257
21,16247
22,14126
23,11898
