key,value
1,10617
2,10316
3,10273
4,10416
5,10861
6,10823
7,10670
8,10613
9,10456
10,10547
11,10385
12,10421
13,10454
14,10582
15,10796
16,10526
17,10797
18,10699
19,10902
20,10610
21,10556
22,10798
23,10982
24,10952
25,10539
26,10352
27,10209
28,10878
29,9599
30,9412
31,6102
